ID CIP2,CIP2,ID CIP4,CIP4,ID CIP6,CIP6,ID Year,Year,ID Nation,Nation,ID Degree,Degree,Completions,Slug CIP6,Geography,ID Geography,Slug Geography
"05","Cultural & Gender Studies","0502","Ethnic, Cultural, & Gender Group Studies","050201","African-American & Black Studies",2019,"2019","01000US","United States",5,"Bachelors Degree",30,"african-american-black-studies","Georgia","04000US13","georgia"
"05","Cultural & Gender Studies","0502","Ethnic, Cultural, & Gender Group Studies","050207","Women's Studies",2019,"2019","01000US","United States",5,"Bachelors Degree",59,"womens-studies","Georgia","04000US13","georgia"
"05","Cultural & Gender Studies","0502","Ethnic, Cultural, & Gender Group Studies","050299","Other Ethnic, Minority, Gender, & Group Studies",2019,"2019","01000US","United States",5,"Bachelors Degree",8,"other-ethnic-minority-gender-group-studies","Georgia","04000US13","georgia"
"09","Communications","0901","Communication and Media Studies","090100","General Communication",2019,"2019","01000US","United States",5,"Bachelors Degree",140,"general-communication","Georgia","04000US13","georgia"
"09","Communications","0901","Communication and Media Studies","090101","Speech Communication & Rhetoric",2019,"2019","01000US","United States",5,"Bachelors Degree",420,"speech-communication-rhetoric","Georgia","04000US13","georgia"
"09","Communications","0901","Communication and Media Studies","090102","Mass Communication & Media Studies",2019,"2019","01000US","United States",5,"Bachelors Degree",100,"mass-communication-media-studies","Georgia","04000US13","georgia"
"09","Communications","0901","Communication and Media Studies","090199","Other Communication & Media Studies",2019,"2019","01000US","United States",5,"Bachelors Degree",109,"other-communication-media-studies","Georgia","04000US13","georgia"
"09","Communications","0904","Journalism","090401","Journalism",2019,"2019","01000US","United States",5,"Bachelors Degree",765,"journalism-090401","Georgia","04000US13","georgia"
"09","Communications","0907","Radio, Television, & Digital Communication","090701","Radio & Television",2019,"2019","01000US","United States",5,"Bachelors Degree",18,"radio-television","Georgia","04000US13","georgia"
"09","Communications","0907","Radio, Television, & Digital Communication","090702","Digital Communication & Multimedia",2019,"2019","01000US","United States",5,"Bachelors Degree",661,"digital-communication-multimedia","Georgia","04000US13","georgia"
"09","Communications","0907","Radio, Television, & Digital Communication","090799","Other Radio, Television, & Digital Communication",2019,"2019","01000US","United States",5,"Bachelors Degree",89,"other-radio-television-digital-communication","Georgia","04000US13","georgia"
"09","Communications","0909","Public Relations, Advertising, & Applied Communication","090900","Public Relations, Advertising, & Applied Communication",2019,"2019","01000US","United States",5,"Bachelors Degree",145,"public-relations-advertising-applied-communication-090900","Georgia","04000US13","georgia"
"09","Communications","0909","Public Relations, Advertising, & Applied Communication","090902","Public Relations & Image Management",2019,"2019","01000US","United States",5,"Bachelors Degree",235,"public-relations-image-management","Georgia","04000US13","georgia"
"09","Communications","0909","Public Relations, Advertising, & Applied Communication","090903","Advertising",2019,"2019","01000US","United States",5,"Bachelors Degree",177,"advertising","Georgia","04000US13","georgia"
"09","Communications","0909","Public Relations, Advertising, & Applied Communication","090908","Technical & Scientific Communication",2019,"2019","01000US","United States",5,"Bachelors Degree",9,"technical-scientific-communication","Georgia","04000US13","georgia"
"09","Communications","0909","Public Relations, Advertising, & Applied Communication","090999","Other Public Relations, Advertising, & Applied Communication",2019,"2019","01000US","United States",5,"Bachelors Degree",17,"other-public-relations-advertising-applied-communication","Georgia","04000US13","georgia"
"09","Communications","0999","Other Communication Studies","099999","Other Communication, Journalism, & Related Programs",2019,"2019","01000US","United States",5,"Bachelors Degree",51,"other-communication-journalism-related-programs","Georgia","04000US13","georgia"
"10","Communication Technologies","1002","Audiovisual Communications Technology","100203","Recording Arts Technology",2019,"2019","01000US","United States",5,"Bachelors Degree",67,"recording-arts-technology","Georgia","04000US13","georgia"
"10","Communication Technologies","1003","Graphic Communications","100304","Animation, Interactive Technology, Video Graphics, & Special Effects",2019,"2019","01000US","United States",5,"Bachelors Degree",384,"animation-interactive-technology-video-graphics-special-effects","Georgia","04000US13","georgia"
"10","Communication Technologies","1003","Graphic Communications","100305","General Production Graphic & Printing Equipment Operator",2019,"2019","01000US","United States",5,"Bachelors Degree",1,"general-production-graphic-printing-equipment-operator","Georgia","04000US13","georgia"
"11","Computer and Information Sciences and Support Services","1101","General Computer & Information Sciences","110101","General Computer & Information Sciences",2019,"2019","01000US","United States",5,"Bachelors Degree",1331,"general-computer-information-sciences-110101","Georgia","04000US13","georgia"
"11","Computer and Information Sciences and Support Services","1101","General Computer & Information Sciences","110103","Information Technology",2019,"2019","01000US","United States",5,"Bachelors Degree",470,"information-technology","Georgia","04000US13","georgia"
"11","Computer and Information Sciences and Support Services","1101","General Computer & Information Sciences","110104","Informatics",2019,"2019","01000US","United States",5,"Bachelors Degree",8,"informatics","Georgia","04000US13","georgia"
"11","Computer and Information Sciences and Support Services","1101","General Computer & Information Sciences","110199","Other Computer & Information Sciences",2019,"2019","01000US","United States",5,"Bachelors Degree",2,"other-computer-information-sciences","Georgia","04000US13","georgia"
"11","Computer and Information Sciences and Support Services","1102","Computer Programming","110201","General Computer Programming",2019,"2019","01000US","United States",5,"Bachelors Degree",0,"general-computer-programming","Georgia","04000US13","georgia"
"11","Computer and Information Sciences and Support Services","1102","Computer Programming","110202","Specific Applications Computer Programming",2019,"2019","01000US","United States",5,"Bachelors Degree",39,"specific-applications-computer-programming","Georgia","04000US13","georgia"
"11","Computer and Information Sciences and Support Services","1103","Data Processing","110301","Data Processing & Data Processing Technology",2019,"2019","01000US","United States",5,"Bachelors Degree",0,"data-processing-data-processing-technology","Georgia","04000US13","georgia"
"11","Computer and Information Sciences and Support Services","1104","Information Sciences","110401","Information Science",2019,"2019","01000US","United States",5,"Bachelors Degree",344,"information-science","Georgia","04000US13","georgia"
"11","Computer and Information Sciences and Support Services","1105","Computer Systems Analysis","110501","Computer Systems Analysis",2019,"2019","01000US","United States",5,"Bachelors Degree",19,"computer-systems-analysis-110501","Georgia","04000US13","georgia"
"11","Computer and Information Sciences and Support Services","1107","Computer Science","110701","Computer Science",2019,"2019","01000US","United States",5,"Bachelors Degree",809,"computer-science-110701","Georgia","04000US13","georgia"
"11","Computer and Information Sciences and Support Services","1108","Computer Software & Media Applications","110801","Web Page, Digital, & Information Resource Design",2019,"2019","01000US","United States",5,"Bachelors Degree",32,"web-page-digital-information-resource-design","Georgia","04000US13","georgia"
"11","Computer and Information Sciences and Support Services","1108","Computer Software & Media Applications","110802","Data Modeling, Warehouse, & Database Administration",2019,"2019","01000US","United States",5,"Bachelors Degree",0,"data-modeling-warehouse-database-administration","Georgia","04000US13","georgia"
"11","Computer and Information Sciences and Support Services","1108","Computer Software & Media Applications","110803","Computer Graphics",2019,"2019","01000US","United States",5,"Bachelors Degree",5,"computer-graphics","Georgia","04000US13","georgia"
"11","Computer and Information Sciences and Support Services","1108","Computer Software & Media Applications","110899","Other Computer Software & Media Applications",2019,"2019","01000US","United States",5,"Bachelors Degree",4,"other-computer-software-media-applications","Georgia","04000US13","georgia"
"11","Computer and Information Sciences and Support Services","1109","Networking & Telecommunication Systems","110901","Computer Systems Networking & Telecommunications",2019,"2019","01000US","United States",5,"Bachelors Degree",13,"computer-systems-networking-telecommunications","Georgia","04000US13","georgia"
"11","Computer and Information Sciences and Support Services","1110","Computer Technology Administration & Management","111001","Network & System Administration",2019,"2019","01000US","United States",5,"Bachelors Degree",6,"network-system-administration","Georgia","04000US13","georgia"
"11","Computer and Information Sciences and Support Services","1110","Computer Technology Administration & Management","111003","Computer & Information Systems Security",2019,"2019","01000US","United States",5,"Bachelors Degree",58,"computer-information-systems-security","Georgia","04000US13","georgia"
"11","Computer and Information Sciences and Support Services","1110","Computer Technology Administration & Management","111004","Web Multimedia Management & Webmaster",2019,"2019","01000US","United States",5,"Bachelors Degree",42,"web-multimedia-management-webmaster","Georgia","04000US13","georgia"
"11","Computer and Information Sciences and Support Services","1110","Computer Technology Administration & Management","111099","Other Computer & Information Technology Services Management",2019,"2019","01000US","United States",5,"Bachelors Degree",10,"other-computer-information-technology-services-management","Georgia","04000US13","georgia"
"12","Personal & Culinary Services","1205","Culinary Arts & Related Services","120504","Restaurant, Culinary, & Catering Management",2019,"2019","01000US","United States",5,"Bachelors Degree",18,"restaurant-culinary-catering-management","Georgia","04000US13","georgia"
"13","Education","1301","General Education","130101","General Education",2019,"2019","01000US","United States",5,"Bachelors Degree",22,"general-education-130101","Georgia","04000US13","georgia"
"13","Education","1302","Multilingual & Multicultural Education","130202","Multicultural Education",2019,"2019","01000US","United States",5,"Bachelors Degree",2,"multicultural-education","Georgia","04000US13","georgia"
"13","Education","1304","Educational Administration & Support","130410","Urban Education & Leadership",2019,"2019","01000US","United States",5,"Bachelors Degree",0,"urban-education-leadership","Georgia","04000US13","georgia"
"13","Education","1310","Special Education","131001","General Special Education & Teaching",2019,"2019","01000US","United States",5,"Bachelors Degree",148,"general-special-education-teaching","Georgia","04000US13","georgia"
"13","Education","1310","Special Education","131003","Education of Individuals with Hearing Impairments",2019,"2019","01000US","United States",5,"Bachelors Degree",7,"education-of-individuals-with-hearing-impairments","Georgia","04000US13","georgia"
"13","Education","1310","Special Education","131012","Education of Individuals with Speech or Language Impairments",2019,"2019","01000US","United States",5,"Bachelors Degree",1,"education-of-individuals-with-speech-or-language-impairments","Georgia","04000US13","georgia"
"13","Education","1310","Special Education","131017","Education of Individuals in Elementary Special Education Programs",2019,"2019","01000US","United States",5,"Bachelors Degree",5,"education-of-individuals-in-elementary-special-education-programs","Georgia","04000US13","georgia"
"13","Education","1310","Special Education","131018","Education of Individuals in Middle School Special Education Programs",2019,"2019","01000US","United States",5,"Bachelors Degree",0,"education-of-individuals-in-middle-school-special-education-programs","Georgia","04000US13","georgia"
"13","Education","1310","Special Education","131099","Other Special Education & Teaching",2019,"2019","01000US","United States",5,"Bachelors Degree",1,"other-special-education-teaching","Georgia","04000US13","georgia"
"13","Education","1312","Teacher Education at Specific Levels & Methods","131202","Elementary Education & Teaching",2019,"2019","01000US","United States",5,"Bachelors Degree",1072,"elementary-education-teaching","Georgia","04000US13","georgia"
"13","Education","1312","Teacher Education at Specific Levels & Methods","131203","Middle School Education & Teaching",2019,"2019","01000US","United States",5,"Bachelors Degree",255,"middle-school-education-teaching","Georgia","04000US13","georgia"
"13","Education","1312","Teacher Education at Specific Levels & Methods","131205","Secondary Education & Teaching",2019,"2019","01000US","United States",5,"Bachelors Degree",36,"secondary-education-teaching","Georgia","04000US13","georgia"
"13","Education","1312","Teacher Education at Specific Levels & Methods","131206","Teacher Education",2019,"2019","01000US","United States",5,"Bachelors Degree",10,"teacher-education","Georgia","04000US13","georgia"
"13","Education","1312","Teacher Education at Specific Levels & Methods","131209","Kindergarten & Preschool Education",2019,"2019","01000US","United States",5,"Bachelors Degree",125,"kindergarten-preschool-education","Georgia","04000US13","georgia"
"13","Education","1312","Teacher Education at Specific Levels & Methods","131210","Early Childhood Education & Teaching",2019,"2019","01000US","United States",5,"Bachelors Degree",416,"early-childhood-education-teaching","Georgia","04000US13","georgia"
"13","Education","1313","Teacher Education for Specific Subject Areas","131301","Agricultural Teacher Education",2019,"2019","01000US","United States",5,"Bachelors Degree",41,"agricultural-teacher-education","Georgia","04000US13","georgia"
"13","Education","1313","Teacher Education for Specific Subject Areas","131302","Art Teacher Education",2019,"2019","01000US","United States",5,"Bachelors Degree",19,"art-teacher-education","Georgia","04000US13","georgia"
"13","Education","1313","Teacher Education for Specific Subject Areas","131303","Business Teacher Education",2019,"2019","01000US","United States",5,"Bachelors Degree",0,"business-teacher-education","Georgia","04000US13","georgia"
"13","Education","1313","Teacher Education for Specific Subject Areas","131305","English & Language Arts Teacher Education",2019,"2019","01000US","United States",5,"Bachelors Degree",53,"english-language-arts-teacher-education","Georgia","04000US13","georgia"
"13","Education","1313","Teacher Education for Specific Subject Areas","131306","Foreign Language Teacher Education",2019,"2019","01000US","United States",5,"Bachelors Degree",7,"foreign-language-teacher-education","Georgia","04000US13","georgia"
"13","Education","1313","Teacher Education for Specific Subject Areas","131307","Health Teacher Education",2019,"2019","01000US","United States",5,"Bachelors Degree",0,"health-teacher-education","Georgia","04000US13","georgia"
"13","Education","1313","Teacher Education for Specific Subject Areas","131308","Family & Consumer Sciences Teacher Education",2019,"2019","01000US","United States",5,"Bachelors Degree",5,"family-consumer-sciences-teacher-education","Georgia","04000US13","georgia"
"13","Education","1313","Teacher Education for Specific Subject Areas","131311","Mathematics Teacher Education",2019,"2019","01000US","United States",5,"Bachelors Degree",36,"mathematics-teacher-education","Georgia","04000US13","georgia"
"13","Education","1313","Teacher Education for Specific Subject Areas","131312","Music Teacher Education",2019,"2019","01000US","United States",5,"Bachelors Degree",92,"music-teacher-education","Georgia","04000US13","georgia"
"13","Education","1313","Teacher Education for Specific Subject Areas","131314","Physical Education Teaching & Coaching",2019,"2019","01000US","United States",5,"Bachelors Degree",237,"physical-education-teaching-coaching","Georgia","04000US13","georgia"
"13","Education","1313","Teacher Education for Specific Subject Areas","131316","General Science Teacher Education",2019,"2019","01000US","United States",5,"Bachelors Degree",10,"general-science-teacher-education","Georgia","04000US13","georgia"
"13","Education","1313","Teacher Education for Specific Subject Areas","131318","Social Studies Teacher Education",2019,"2019","01000US","United States",5,"Bachelors Degree",28,"social-studies-teacher-education","Georgia","04000US13","georgia"
"13","Education","1313","Teacher Education for Specific Subject Areas","131320","Trade & Industrial Teacher Education",2019,"2019","01000US","United States",5,"Bachelors Degree",5,"trade-industrial-teacher-education","Georgia","04000US13","georgia"
"13","Education","1313","Teacher Education for Specific Subject Areas","131322","Biology Teacher Education",2019,"2019","01000US","United States",5,"Bachelors Degree",1,"biology-teacher-education","Georgia","04000US13","georgia"
"13","Education","1313","Teacher Education for Specific Subject Areas","131324","Drama & Dance Teacher Education",2019,"2019","01000US","United States",5,"Bachelors Degree",6,"drama-dance-teacher-education","Georgia","04000US13","georgia"
"13","Education","1313","Teacher Education for Specific Subject Areas","131328","History Teacher Education",2019,"2019","01000US","United States",5,"Bachelors Degree",4,"history-teacher-education","Georgia","04000US13","georgia"
"13","Education","1313","Teacher Education for Specific Subject Areas","131329","Physics Teacher Education",2019,"2019","01000US","United States",5,"Bachelors Degree",0,"physics-teacher-education","Georgia","04000US13","georgia"
"13","Education","1399","Other Education Studies","139999","Other Education",2019,"2019","01000US","United States",5,"Bachelors Degree",50,"other-education","Georgia","04000US13","georgia"
"14","Engineering","1401","General Engineering","140101","General Engineering",2019,"2019","01000US","United States",5,"Bachelors Degree",137,"general-engineering-140101","Georgia","04000US13","georgia"
"14","Engineering","1401","General Engineering","140102","Pre-Engineering",2019,"2019","01000US","United States",5,"Bachelors Degree",1,"pre-engineering","Georgia","04000US13","georgia"
"14","Engineering","1402","Aerospace, Aeronautical & Astronautical Engineering","140201","Aerospace, Aeronautical, & Astronautical Engineering",2019,"2019","01000US","United States",5,"Bachelors Degree",207,"aerospace-aeronautical-astronautical-engineering-140201","Georgia","04000US13","georgia"
"14","Engineering","1403","Agricultural Engineering","140301","Agricultural Engineering",2019,"2019","01000US","United States",5,"Bachelors Degree",8,"agricultural-engineering-140301","Georgia","04000US13","georgia"
"14","Engineering","1405","Biomedical Engineering","140501","Bioengineering & Biomedical Engineering",2019,"2019","01000US","United States",5,"Bachelors Degree",239,"bioengineering-biomedical-engineering","Georgia","04000US13","georgia"
"14","Engineering","1407","Chemical Engineering","140701","Chemical Engineering",2019,"2019","01000US","United States",5,"Bachelors Degree",220,"chemical-engineering-140701","Georgia","04000US13","georgia"
"14","Engineering","1408","Civil Engineering","140801","General Civil Engineering",2019,"2019","01000US","United States",5,"Bachelors Degree",307,"general-civil-engineering","Georgia","04000US13","georgia"
"14","Engineering","1409","Computer Engineering","140901","General Computer Engineering",2019,"2019","01000US","United States",5,"Bachelors Degree",194,"general-computer-engineering","Georgia","04000US13","georgia"
"14","Engineering","1409","Computer Engineering","140903","Computer Software Engineering",2019,"2019","01000US","United States",5,"Bachelors Degree",63,"computer-software-engineering","Georgia","04000US13","georgia"
"14","Engineering","1410","Electrical Engineering","141001","Electrical & Electronics Engineering",2019,"2019","01000US","United States",5,"Bachelors Degree",384,"electrical-electronics-engineering","Georgia","04000US13","georgia"
"14","Engineering","1412","Engineering Physics","141201","Engineering Physics & Applied Physics",2019,"2019","01000US","United States",5,"Bachelors Degree",15,"engineering-physics-applied-physics","Georgia","04000US13","georgia"
"14","Engineering","1413","Engineering Science","141301","Engineering Science",2019,"2019","01000US","United States",5,"Bachelors Degree",4,"engineering-science-141301","Georgia","04000US13","georgia"
"14","Engineering","1414","Environmental Engineering","141401","Environmental Health Engineering",2019,"2019","01000US","United States",5,"Bachelors Degree",71,"environmental-health-engineering","Georgia","04000US13","georgia"
"14","Engineering","1418","Materials Engineering","141801","Materials Engineering",2019,"2019","01000US","United States",5,"Bachelors Degree",81,"materials-engineering-141801","Georgia","04000US13","georgia"
"14","Engineering","1419","Mechanical Engineering","141901","Mechanical Engineering",2019,"2019","01000US","United States",5,"Bachelors Degree",1100,"mechanical-engineering-141901","Georgia","04000US13","georgia"
"14","Engineering","1423","Nuclear Engineering","142301","Nuclear Engineering",2019,"2019","01000US","United States",5,"Bachelors Degree",32,"nuclear-engineering-142301","Georgia","04000US13","georgia"
"14","Engineering","1427","Systems Engineering","142701","Systems Engineering",2019,"2019","01000US","United States",5,"Bachelors Degree",25,"systems-engineering-142701","Georgia","04000US13","georgia"
"14","Engineering","1428","Textile Sciences & Engineering","142801","Textile Sciences & Engineering",2019,"2019","01000US","United States",5,"Bachelors Degree",0,"textile-sciences-engineering-142801","Georgia","04000US13","georgia"
"14","Engineering","1433","Construction Engineering","143301","Construction Engineering",2019,"2019","01000US","United States",5,"Bachelors Degree",10,"construction-engineering-143301","Georgia","04000US13","georgia"
"14","Engineering","1435","Industrial Engineering","143501","Industrial Engineering",2019,"2019","01000US","United States",5,"Bachelors Degree",356,"industrial-engineering-143501","Georgia","04000US13","georgia"
"14","Engineering","1436","Manufacturing Engineering","143601","Manufacturing Engineering",2019,"2019","01000US","United States",5,"Bachelors Degree",10,"manufacturing-engineering-143601","Georgia","04000US13","georgia"
"14","Engineering","1443","Biochemical Engineering","144301","Biochemical Engineering",2019,"2019","01000US","United States",5,"Bachelors Degree",28,"biochemical-engineering-144301","Georgia","04000US13","georgia"
"14","Engineering","1445","Biological & Biosystems Engineering","144501","Biological & Biosystems Engineering",2019,"2019","01000US","United States",5,"Bachelors Degree",36,"biological-biosystems-engineering-144501","Georgia","04000US13","georgia"
"15","Engineering Technologies","1500","General Engineering Technologies","150000","General Engineering Technology",2019,"2019","01000US","United States",5,"Bachelors Degree",79,"general-engineering-technology","Georgia","04000US13","georgia"
"15","Engineering Technologies","1502","Civil Engineering Technologies","150201","Civil Engineering Technology",2019,"2019","01000US","United States",5,"Bachelors Degree",12,"civil-engineering-technology","Georgia","04000US13","georgia"
"15","Engineering Technologies","1503","Electrical Engineering Technologies","150303","Electrical, Electronic, & Communications Engineering Technology",2019,"2019","01000US","United States",5,"Bachelors Degree",64,"electrical-electronic-communications-engineering-technology","Georgia","04000US13","georgia"
"15","Engineering Technologies","1503","Electrical Engineering Technologies","150305","Telecommunications Technology",2019,"2019","01000US","United States",5,"Bachelors Degree",0,"telecommunications-technology","Georgia","04000US13","georgia"
"15","Engineering Technologies","1504","Electromechanical Instrumentation & Maintenance Technologies","150401","Biomedical Technology",2019,"2019","01000US","United States",5,"Bachelors Degree",0,"biomedical-technology","Georgia","04000US13","georgia"
"15","Engineering Technologies","1505","Environmental Control Technologies","150507","Environmental Engineering Technology",2019,"2019","01000US","United States",5,"Bachelors Degree",0,"environmental-engineering-technology","Georgia","04000US13","georgia"
"15","Engineering Technologies","1506","Industrial Production Technologies","150699","Other Industrial Production Technology",2019,"2019","01000US","United States",5,"Bachelors Degree",39,"other-industrial-production-technology","Georgia","04000US13","georgia"
"15","Engineering Technologies","1508","Mechanical Engineering Technologies","150805","Mechanical Engineering Technology",2019,"2019","01000US","United States",5,"Bachelors Degree",51,"mechanical-engineering-technology","Georgia","04000US13","georgia"
"15","Engineering Technologies","1510","Construction Engineering Technologies","151001","Construction Engineering Technology",2019,"2019","01000US","United States",5,"Bachelors Degree",88,"construction-engineering-technology","Georgia","04000US13","georgia"
"15","Engineering Technologies","1511","Engineering-Related Technologies","151102","Surveying Technology",2019,"2019","01000US","United States",5,"Bachelors Degree",1,"surveying-technology","Georgia","04000US13","georgia"
"15","Engineering Technologies","1512","Computer Engineering Technologies","151201","Computer Engineering Technology",2019,"2019","01000US","United States",5,"Bachelors Degree",15,"computer-engineering-technology","Georgia","04000US13","georgia"
"15","Engineering Technologies","1515","Engineering-Related Fields","151501","Engineering & Industrial Management",2019,"2019","01000US","United States",5,"Bachelors Degree",5,"engineering-industrial-management","Georgia","04000US13","georgia"
